Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
205/1000:None,1/2-1/2,171,Termination.FIVEFOLD_REPETITION,0.117000310081504
206/1000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.1158303069806898
207/1000:None,1/2-1/2,71,Termination.FIVEFOLD_REPETITION,0.1146720039108829
208/1000:None,1/2-1/2,34,Termination.FIVEFOLD_REPETITION,0.1135252838717740
209/1000:None,1/2-1/2,199,Termination.FIVEFOLD_REPETITION,0.112390031033056
210/1000:None,1/2-1/2,43,Termination.FIVEFOLD_REPETITION,0.1112661307227257
211/1000:None,1/2-1/2,26,Termination.FIVEFOLD_REPETITION,0.1101534694154985
212/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.1090519347213435
213/1000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.1079614153741301
214/1000:None,1/2-1/2,143,Termination.FIVEFOLD_REPETITION,0.106881801220388
215/1000:None,1/2-1/2,48,Termination.FIVEFOLD_REPETITION,0.1058129832081849
216/1000:None,1/2-1/2,30,Termination.FIVEFOLD_REPETITION,0.1047548533761030
217/1000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.1037073048423420
218/1000:None,1/2-1/2,136,Termination.FIVEFOLD_REPETITION,0.102670231793918
219/1000:white,1-0,36,Termination.CHECKMATE,0.10164352947597942
220/1000:None,1/2-1/2,32,Termination.FIVEFOLD_REPETITION,0.1006270941812196
221/1000:None,1/2-1/2,52,Termination.FIVEFOLD_REPETITION,0.0996208232394074
222/1000:None,1/2-1/2,40,Termination.FIVEFOLD_REPETITION,0.0986246150070133
223/1000:None,1/2-1/2,45,Termination.FIVEFOLD_REPETITION,0.0976383688569432
224/1000:None,1/2-1/2,206,Termination.FIVEFOLD_REPETITION,0.096661985168373
225/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.0956953653166900
226/1000:None,1/2-1/2,153,Termination.FIVEFOLD_REPETITION,0.094738411663523
227/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0937910275468879
229/1000:None,1/2-1/2,203,Termination.FIVEFOLD_REPETITION,0.09192458609870482
230/1000:None,1/2-1/2,161,Termination.FIVEFOLD_REPETITION,0.09100534023771778
231/1000:None,1/2-1/2,149,Termination.FIVEFOLD_REPETITION,0.0900952868353406
232/1000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.08919433396698719
233/1000:None,1/2-1/2,37,Termination.FIVEFOLD_REPETITION,0.08830239062731732
234/1000:None,1/2-1/2,45,Termination.FIVEFOLD_REPETITION,0.08741936672104414
235/1000:None,1/2-1/2,62,Termination.FIVEFOLD_REPETITION,0.08654517305383369
236/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.08567972132329535
237/1000:None,1/2-1/2,229,Termination.FIVEFOLD_REPETITION,0.0848229241100624
238/1000:None,1/2-1/2,174,Termination.FIVEFOLD_REPETITION,0.08397469486896172
239/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.08313494792027215
240/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.08230359844106942
241/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.08148056245665873
242/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.08066575683209214
243/1000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.07985909926377122
244/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0790605082711335
245/1000:None,1/2-1/2,58,Termination.FIVEFOLD_REPETITION,0.07826990318842217
246/1000:None,1/2-1/2,45,Termination.FIVEFOLD_REPETITION,0.07748720415653794
247/1000:None,1/2-1/2,150,Termination.FIVEFOLD_REPETITION,0.07671233211497252
248/1000:None,1/2-1/2,121,Termination.FIVEFOLD_REPETITION,0.07594520879382282
249/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0751857567058846
250/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.07443389913882574
251/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.07368956014743748
252/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.07295266454596311
253/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.07222313790050347
254/1000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.07150090652149843
255/1000:None,1/2-1/2,31,Termination.FIVEFOLD_REPETITION,0.07078589745628344
256/1000:None,1/2-1/2,56,Termination.FIVEFOLD_REPETITION,0.0700780384817206
257/1000:None,1/2-1/2,42,Termination.FIVEFOLD_REPETITION,0.0693772580969034
258/1000:None,1/2-1/2,30,Termination.FIVEFOLD_REPETITION,0.06868348551593437
259/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.06799665066077502
260/1000:None,1/2-1/2,157,Termination.FIVEFOLD_REPETITION,0.06731668415416722
261/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.0666435173126256
262/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.06597708213949935
263/1000:None,1/2-1/2,120,Termination.FIVEFOLD_REPETITION,0.06531731131810432
264/1000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.06466413820492331
265/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.06401749682287408
266/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.06337732185464534
267/1000:None,1/2-1/2,91,Termination.FIVEFOLD_REPETITION,0.06274354863609889
268/1000:None,1/2-1/2,33,Termination.FIVEFOLD_REPETITION,0.0621161131497379
269/1000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.061494952018240522
270/1000:None,1/2-1/2,70,Termination.FIVEFOLD_REPETITION,0.06088000249805812
271/1000:None,1/2-1/2,72,Termination.FIVEFOLD_REPETITION,0.06027120247307754
272/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.05966849044834676
273/1000:white,1-0,46,Termination.CHECKMATE,0.05907180554386329
274/1000:None,1/2-1/2,49,Termination.FIVEFOLD_REPETITION,0.058481087488424652
275/1000:None,1/2-1/2,43,Termination.FIVEFOLD_REPETITION,0.05789627661354041
276/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.057317313847405
277/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.056744140708930952
278/1000:None,1/2-1/2,52,Termination.FIVEFOLD_REPETITION,0.056176699301841642
279/1000:None,1/2-1/2,26,Termination.FIVEFOLD_REPETITION,0.05561493230882323
280/1000:None,1/2-1/2,65,Termination.FIVEFOLD_REPETITION,0.055058782985734992
281/1000:None,1/2-1/2,89,Termination.FIVEFOLD_REPETITION,0.054508195155877642
