Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
335/5000:None,1/2-1/2,193,Termination.FIVEFOLD_REPETITION,0.0313615489956036
336/5000:None,1/2-1/2,59,Termination.FIVEFOLD_REPETITION,0.03104793350564756
337/5000:None,1/2-1/2,49,Termination.FIVEFOLD_REPETITION,0.03073745417059109
338/5000:None,1/2-1/2,49,Termination.FIVEFOLD_REPETITION,0.03043007962888518
339/5000:None,1/2-1/2,61,Termination.FIVEFOLD_REPETITION,0.03012577883259632
340/5000:None,1/2-1/2,73,Termination.FIVEFOLD_REPETITION,0.02982452104427036
341/5000:None,1/2-1/2,199,Termination.FIVEFOLD_REPETITION,0.0295262758338276
342/5000:None,1/2-1/2,99,Termination.FIVEFOLD_REPETITION,0.02923101307548938
343/5000:None,1/2-1/2,48,Termination.FIVEFOLD_REPETITION,0.02893870294473449
344/5000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.02864931591528714
345/5000:None,1/2-1/2,41,Termination.FIVEFOLD_REPETITION,0.02836282275613427
346/5000:None,1/2-1/2,41,Termination.FIVEFOLD_REPETITION,0.02807919452857293
347/5000:None,1/2-1/2,41,Termination.FIVEFOLD_REPETITION,0.0277984025832872
348/5000:None,1/2-1/2,29,Termination.FIVEFOLD_REPETITION,0.02752041855745432
349/5000:None,1/2-1/2,232,Termination.FIVEFOLD_REPETITION,0.02724521437187972
350/5000:None,1/2-1/2,29,Termination.FIVEFOLD_REPETITION,0.02697276222816098
351/5000:None,1/2-1/2,44,Termination.FIVEFOLD_REPETITION,0.02670303460587938
352/5000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.02643600425982058
353/5000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.02617164421722238
354/5000:None,1/2-1/2,25,Termination.FIVEFOLD_REPETITION,0.02590992777505015
355/5000:None,1/2-1/2,56,Termination.FIVEFOLD_REPETITION,0.02565082849729965
356/5000:None,1/2-1/2,29,Termination.FIVEFOLD_REPETITION,0.02539432021232665
357/5000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.02514037701020339
359/5000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.02464008350770034
361/5000:None,1/2-1/2,33,Termination.FIVEFOLD_REPETITION,0.02414974584589710
362/5000:None,1/2-1/2,25,Termination.FIVEFOLD_REPETITION,0.02390824838743813
363/5000:None,1/2-1/2,46,Termination.FIVEFOLD_REPETITION,0.02366916590356375
364/5000:None,1/2-1/2,25,Termination.FIVEFOLD_REPETITION,0.02343247424452811
365/5000:None,1/2-1/2,25,Termination.FIVEFOLD_REPETITION,0.02319814950208283
366/5000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.02296616800706200
367/5000:None,1/2-1/2,71,Termination.FIVEFOLD_REPETITION,0.02273650632699138
368/5000:None,1/2-1/2,65,Termination.FIVEFOLD_REPETITION,0.02250914126372146
370/5000:None,1/2-1/2,105,Termination.FIVEFOLD_REPETITION,0.0220612093525734
371/5000:None,1/2-1/2,66,Termination.FIVEFOLD_REPETITION,0.02184059725904767
372/5000:None,1/2-1/2,71,Termination.FIVEFOLD_REPETITION,0.02162219128645719
373/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02140596937359262
374/5000:None,1/2-1/2,67,Termination.FIVEFOLD_REPETITION,0.0211919096798567
375/5000:None,1/2-1/2,104,Termination.FIVEFOLD_REPETITION,0.02097999058305812
376/5000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.02077019067722755
377/5000:None,1/2-1/2,192,Termination.FIVEFOLD_REPETITION,0.02056248877045522
378/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.02035686388275072
379/5000:None,1/2-1/2,34,Termination.FIVEFOLD_REPETITION,0.02015329524392321
380/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01995176229148398
381/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01975224466856914
382/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01955472222188345
383/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01935917499966462
384/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01916558324966797
385/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01897392741717129
386/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01878418814299957
387/5000:None,1/2-1/2,36,Termination.FIVEFOLD_REPETITION,0.01859634626156958
388/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01841038279895388
389/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01822627897096434
390/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01804401618125470
391/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01786357601944215
392/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01768494025924773
393/5000:None,1/2-1/2,120,Termination.FIVEFOLD_REPETITION,0.01750809085665522
394/5000:None,1/2-1/2,131,Termination.FIVEFOLD_REPETITION,0.01733300994808872
395/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01715967984860781
396/5000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.01698808305012173
397/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01681820221962052
398/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01665002019742431
399/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01648351999545007
400/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01631868479549557
401/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01615549794754061
402/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01599394296806521
403/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01583400353838456
404/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01567566350300071
405/5000:None,1/2-1/2,36,Termination.FIVEFOLD_REPETITION,0.01551890686797070
406/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01536371779929099
407/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01521008062129808
408/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01505797981508510
409/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01490740001693425
410/5000:None,1/2-1/2,154,Termination.FIVEFOLD_REPETITION,0.01475832601676492
411/5000:None,1/2-1/2,102,Termination.FIVEFOLD_REPETITION,0.01461074275659722
412/5000:None,1/2-1/2,120,Termination.FIVEFOLD_REPETITION,0.01446463532903122
413/5000:None,1/2-1/2,87,Termination.FIVEFOLD_REPETITION,0.01431998897574097
414/5000:None,1/2-1/2,91,Termination.FIVEFOLD_REPETITION,0.01417678908598356
415/5000:None,1/2-1/2,99,Termination.FIVEFOLD_REPETITION,0.01403502119512373
416/5000:None,1/2-1/2,103,Termination.FIVEFOLD_REPETITION,0.01389467098317242
417/5000:None,1/2-1/2,106,Termination.FIVEFOLD_REPETITION,0.01375572427334072
418/5000:None,1/2-1/2,47,Termination.FIVEFOLD_REPETITION,0.01361816703060736
419/5000:None,1/2-1/2,70,Termination.FIVEFOLD_REPETITION,0.01348198536030128
420/5000:None,1/2-1/2,39,Termination.FIVEFOLD_REPETITION,0.01334716550669827
421/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01321369385163129
422/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01308155691311497
423/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01295074134398383
424/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01282123393054399
425/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01269302159123855
426/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01256609137532616
427/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01244043046157290
428/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01231602615695717
429/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01219286589538760
430/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01207093723643372
431/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01195022786406938
432/5000:None,1/2-1/2,29,Termination.FIVEFOLD_REPETITION,0.01183072558542869
433/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01171241832957440
434/5000:None,1/2-1/2,43,Termination.FIVEFOLD_REPETITION,0.01159529414627866
435/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01147934120481587
436/5000:None,1/2-1/2,32,Termination.FIVEFOLD_REPETITION,0.01136454779276771
437/5000:None,1/2-1/2,33,Termination.FIVEFOLD_REPETITION,0.01125090231484003
438/5000:None,1/2-1/2,71,Termination.FIVEFOLD_REPETITION,0.01113839329169163
439/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01102700935877472
440/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01091673926518697
441/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01080757187253510
442/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01069949615380975
443/5000:None,1/2-1/2,34,Termination.FIVEFOLD_REPETITION,0.01059250119227165
444/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01048657618034893
445/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01038171041854544
446/5000:None,1/2-1/2,37,Termination.FIVEFOLD_REPETITION,0.01027789331435999
447/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01017511438121639
448/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.01007336323740423
449/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
450/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
451/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
452/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
453/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
454/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
455/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
456/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
457/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
458/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
459/5000:None,1/2-1/2,52,Termination.FIVEFOLD_REPETITION,0.009972629605030188
460/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
461/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
462/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
463/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
464/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
465/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
466/5000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.009972629605030188
467/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
468/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
469/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
470/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
471/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
472/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
473/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
474/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
475/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
476/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
477/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
478/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
479/5000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.009972629605030188
