Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
5/5000:None,1/2-1/2,217,Termination.STALEMATE,0.8645364090000001
13/5000:black,0-1,107,Termination.CHECKMATE,0.7977463845445164
15/5000:black,0-1,79,Termination.CHECKMATE,0.7818712314920805
28/5000:None,1/2-1/2,204,Termination.INSUFFICIENT_MATERIAL,0.6861084429123933
34/5000:black,0-1,85,Termination.CHECKMATE,0.6459574793384475
47/5000:black,0-1,127,Termination.CHECKMATE,0.5668412680829091
48/5000:None,1/2-1/2,241,Termination.INSUFFICIENT_MATERIAL,0.5611728554020801
49/5000:black,0-1,199,Termination.CHECKMATE,0.5555611268480593
51/5000:white,1-0,178,Termination.CHECKMATE,0.5445054604237829
52/5000:white,1-0,208,Termination.CHECKMATE,0.5390604058195451
54/5000:white,1-0,156,Termination.CHECKMATE,0.5283331037437361
56/5000:white,1-0,60,Termination.CHECKMATE,0.5178192749792357
57/5000:white,1-0,196,Termination.CHECKMATE,0.5126410822294434
58/5000:white,1-0,178,Termination.CHECKMATE,0.5075146714071489
59/5000:black,0-1,213,Termination.CHECKMATE,0.5024395246930774
61/5000:None,1/2-1/2,217,Termination.INSUFFICIENT_MATERIAL,0.4924409781516851
72/5000:black,0-1,223,Termination.CHECKMATE,0.4409012457037845
80/5000:white,1-0,106,Termination.CHECKMATE,0.40683928523982793
83/5000:black,0-1,117,Termination.CHECKMATE,0.3947557516289198
85/5000:black,0-1,17,Termination.CHECKMATE,0.3869001121715043
87/5000:white,1-0,206,Termination.CHECKMATE,0.3792007999392913
98/5000:black,0-1,71,Termination.CHECKMATE,0.3395129822311538
99/5000:None,1/2-1/2,237,Termination.FIVEFOLD_REPETITION,0.33611785240884223
107/5000:None,1/2-1/2,171,Termination.FIVEFOLD_REPETITION,0.3101509650127659
108/5000:white,1-0,138,Termination.CHECKMATE,0.3070494553626382
111/5000:white,1-0,182,Termination.CHECKMATE,0.2979297794889125
113/5000:None,1/2-1/2,213,Termination.FIVEFOLD_REPETITION,0.29200097687708315
114/5000:None,1/2-1/2,235,Termination.FIVEFOLD_REPETITION,0.2890809671083123
117/5000:None,1/2-1/2,177,Termination.FIVEFOLD_REPETITION,0.28049497330422835
118/5000:None,1/2-1/2,237,Termination.FIVEFOLD_REPETITION,0.27769002357118605
124/5000:None,1/2-1/2,245,Termination.STALEMATE,0.2614396448789674
132/5000:None,1/2-1/2,244,Termination.FIVEFOLD_REPETITION,0.24124204522518672
133/5000:None,1/2-1/2,190,Termination.FIVEFOLD_REPETITION,0.23882962477293485
135/5000:None,1/2-1/2,166,Termination.FIVEFOLD_REPETITION,0.23407691523995344
137/5000:None,1/2-1/2,200,Termination.FIVEFOLD_REPETITION,0.22941878462667836
138/5000:None,1/2-1/2,223,Termination.FIVEFOLD_REPETITION,0.22712459678041158
142/5000:None,1/2-1/2,242,Termination.FIVEFOLD_REPETITION,0.2181749814401222
144/5000:white,1-0,212,Termination.CHECKMATE,0.21383329930946376
145/5000:black,0-1,211,Termination.CHECKMATE,0.21169496631636914
146/5000:None,1/2-1/2,193,Termination.FIVEFOLD_REPETITION,0.20957801665320544
150/5000:None,1/2-1/2,224,Termination.FIVEFOLD_REPETITION,0.2013198065807827
151/5000:None,1/2-1/2,197,Termination.FIVEFOLD_REPETITION,0.19930660851497486
154/5000:None,1/2-1/2,225,Termination.FIVEFOLD_REPETITION,0.1933870029354716
155/5000:None,1/2-1/2,225,Termination.FIVEFOLD_REPETITION,0.19145313290611687
156/5000:None,1/2-1/2,214,Termination.FIVEFOLD_REPETITION,0.1895386015770557
158/5000:black,0-1,101,Termination.CHECKMATE,0.1857667834056723
159/5000:None,1/2-1/2,199,Termination.FIVEFOLD_REPETITION,0.18390911557161557
161/5000:None,1/2-1/2,173,Termination.FIVEFOLD_REPETITION,0.18024932417174042
163/5000:None,1/2-1/2,169,Termination.FIVEFOLD_REPETITION,0.17666236262072277
164/5000:black,0-1,89,Termination.CHECKMATE,0.17489573899451555
165/5000:None,1/2-1/2,182,Termination.FIVEFOLD_REPETITION,0.173146781604570
166/5000:None,1/2-1/2,233,Termination.FIVEFOLD_REPETITION,0.171415313788524
167/5000:None,1/2-1/2,230,Termination.FIVEFOLD_REPETITION,0.169701160650639
168/5000:None,1/2-1/2,175,Termination.FIVEFOLD_REPETITION,0.168004149044133
169/5000:None,1/2-1/2,247,Termination.FIVEFOLD_REPETITION,0.166324107553691
170/5000:None,1/2-1/2,238,Termination.FIVEFOLD_REPETITION,0.164660866478154
172/5000:None,1/2-1/2,183,Termination.FIVEFOLD_REPETITION,0.161384115235239
174/5000:None,1/2-1/2,172,Termination.FIVEFOLD_REPETITION,0.158172571342058
175/5000:None,1/2-1/2,163,Termination.FIVEFOLD_REPETITION,0.156590845628637
176/5000:None,1/2-1/2,201,Termination.FIVEFOLD_REPETITION,0.155024937172351
178/5000:None,1/2-1/2,158,Termination.FIVEFOLD_REPETITION,0.151939940922621
179/5000:None,1/2-1/2,211,Termination.FIVEFOLD_REPETITION,0.150420541513395
180/5000:None,1/2-1/2,139,Termination.FIVEFOLD_REPETITION,0.148916336098261
181/5000:None,1/2-1/2,160,Termination.FIVEFOLD_REPETITION,0.147427172737278
182/5000:None,1/2-1/2,178,Termination.FIVEFOLD_REPETITION,0.145952901009905
183/5000:None,1/2-1/2,186,Termination.FIVEFOLD_REPETITION,0.144493371999806
184/5000:None,1/2-1/2,129,Termination.FIVEFOLD_REPETITION,0.143048438279808
185/5000:white,1-0,188,Termination.CHECKMATE,0.14161795389701068
186/5000:None,1/2-1/2,123,Termination.FIVEFOLD_REPETITION,0.140201774358040
187/5000:None,1/2-1/2,156,Termination.FIVEFOLD_REPETITION,0.138799756614460
188/5000:None,1/2-1/2,136,Termination.FIVEFOLD_REPETITION,0.137411759048315
189/5000:None,1/2-1/2,248,Termination.FIVEFOLD_REPETITION,0.136037641457832
190/5000:None,1/2-1/2,224,Termination.FIVEFOLD_REPETITION,0.134677265043254
191/5000:None,1/2-1/2,119,Termination.FIVEFOLD_REPETITION,0.133330492392821
192/5000:black,0-1,133,Termination.CHECKMATE,0.13199718746889333
193/5000:None,1/2-1/2,139,Termination.FIVEFOLD_REPETITION,0.130677215594204
194/5000:None,1/2-1/2,182,Termination.FIVEFOLD_REPETITION,0.129370443438262
195/5000:None,1/2-1/2,203,Termination.FIVEFOLD_REPETITION,0.128076739003879
196/5000:None,1/2-1/2,222,Termination.FIVEFOLD_REPETITION,0.126795971613840
197/5000:None,1/2-1/2,157,Termination.FIVEFOLD_REPETITION,0.125528011897702
198/5000:None,1/2-1/2,97,Termination.FIVEFOLD_REPETITION,0.1242727317787255
199/5000:None,1/2-1/2,147,Termination.FIVEFOLD_REPETITION,0.123030004460938
200/5000:None,1/2-1/2,111,Termination.FIVEFOLD_REPETITION,0.121799704416328
201/5000:None,1/2-1/2,48,Termination.FIVEFOLD_REPETITION,0.1205817073721655
202/5000:None,1/2-1/2,211,Termination.FIVEFOLD_REPETITION,0.119375890298443
203/5000:black,0-1,115,Termination.CHECKMATE,0.11818213139545947
204/5000:black,0-1,65,Termination.CHECKMATE,0.11700031008150487
205/5000:None,1/2-1/2,86,Termination.FIVEFOLD_REPETITION,0.1158303069806898
206/5000:None,1/2-1/2,159,Termination.FIVEFOLD_REPETITION,0.114672003910882
207/5000:white,1-0,174,Termination.CHECKMATE,0.11352528387177409
208/5000:None,1/2-1/2,182,Termination.FIVEFOLD_REPETITION,0.112390031033056
211/5000:None,1/2-1/2,58,Termination.FIVEFOLD_REPETITION,0.1090519347213435
213/5000:white,1-0,152,Termination.CHECKMATE,0.1068818012203888
215/5000:None,1/2-1/2,69,Termination.FIVEFOLD_REPETITION,0.1047548533761030
216/5000:None,1/2-1/2,21,Termination.FIVEFOLD_REPETITION,0.1037073048423420
220/5000:None,1/2-1/2,21,Termination.FIVEFOLD_REPETITION,0.0996208232394074
223/5000:None,1/2-1/2,147,Termination.FIVEFOLD_REPETITION,0.096661985168373
232/5000:None,1/2-1/2,237,Termination.FIVEFOLD_REPETITION,0.088302390627317
234/5000:None,1/2-1/2,147,Termination.FIVEFOLD_REPETITION,0.086545173053833
237/5000:None,1/2-1/2,129,Termination.FIVEFOLD_REPETITION,0.083974694868961
238/5000:None,1/2-1/2,196,Termination.FIVEFOLD_REPETITION,0.083134947920272
240/5000:None,1/2-1/2,205,Termination.FIVEFOLD_REPETITION,0.081480562456658
241/5000:black,0-1,51,Termination.CHECKMATE,0.08066575683209214
243/5000:None,1/2-1/2,120,Termination.FIVEFOLD_REPETITION,0.079060508271133
246/5000:None,1/2-1/2,118,Termination.FIVEFOLD_REPETITION,0.076712332114972
248/5000:None,1/2-1/2,203,Termination.FIVEFOLD_REPETITION,0.075185756705884
249/5000:None,1/2-1/2,97,Termination.FIVEFOLD_REPETITION,0.0744338991388257
251/5000:None,1/2-1/2,103,Termination.FIVEFOLD_REPETITION,0.072952664545963
253/5000:None,1/2-1/2,131,Termination.FIVEFOLD_REPETITION,0.071500906521498
254/5000:white,1-0,172,Termination.CHECKMATE,0.07078589745628344
255/5000:None,1/2-1/2,92,Termination.FIVEFOLD_REPETITION,0.0700780384817206
258/5000:None,1/2-1/2,144,Termination.FIVEFOLD_REPETITION,0.067996650660775
259/5000:None,1/2-1/2,143,Termination.FIVEFOLD_REPETITION,0.067316684154167
260/5000:None,1/2-1/2,231,Termination.FIVEFOLD_REPETITION,0.066643517312625
261/5000:None,1/2-1/2,208,Termination.FIVEFOLD_REPETITION,0.065977082139499
262/5000:None,1/2-1/2,94,Termination.FIVEFOLD_REPETITION,0.0653173113181043
264/5000:None,1/2-1/2,100,Termination.FIVEFOLD_REPETITION,0.064017496822874
265/5000:None,1/2-1/2,210,Termination.FIVEFOLD_REPETITION,0.063377321854645
266/5000:None,1/2-1/2,154,Termination.FIVEFOLD_REPETITION,0.062743548636098
267/5000:None,1/2-1/2,220,Termination.FIVEFOLD_REPETITION,0.062116113149737
269/5000:None,1/2-1/2,170,Termination.FIVEFOLD_REPETITION,0.060880002498058
270/5000:None,1/2-1/2,112,Termination.FIVEFOLD_REPETITION,0.060271202473077
271/5000:None,1/2-1/2,159,Termination.FIVEFOLD_REPETITION,0.059668490448346
272/5000:None,1/2-1/2,84,Termination.FIVEFOLD_REPETITION,0.0590718055438632
273/5000:None,1/2-1/2,191,Termination.FIVEFOLD_REPETITION,0.0584810874884242
275/5000:None,1/2-1/2,130,Termination.FIVEFOLD_REPETITION,0.057317313847405
276/5000:None,1/2-1/2,108,Termination.FIVEFOLD_REPETITION,0.056744140708930954
277/5000:None,1/2-1/2,191,Termination.FIVEFOLD_REPETITION,0.056176699301841646
278/5000:black,0-1,73,Termination.CHECKMATE,0.05561493230882323
279/5000:None,1/2-1/2,66,Termination.FIVEFOLD_REPETITION,0.055058782985734994
280/5000:None,1/2-1/2,71,Termination.FIVEFOLD_REPETITION,0.054508195155877646
281/5000:None,1/2-1/2,75,Termination.FIVEFOLD_REPETITION,0.05396311320431887
282/5000:None,1/2-1/2,79,Termination.FIVEFOLD_REPETITION,0.05342348207227568
283/5000:None,1/2-1/2,87,Termination.FIVEFOLD_REPETITION,0.052889247251552925
284/5000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.052360354779037395
286/5000:None,1/2-1/2,60,Termination.FIVEFOLD_REPETITION,0.05131838371893455
287/5000:None,1/2-1/2,235,Termination.FIVEFOLD_REPETITION,0.05080519988174521
289/5000:black,0-1,75,Termination.CHECKMATE,0.04979417640409847
292/5000:None,1/2-1/2,238,Termination.FIVEFOLD_REPETITION,0.04831523957072034
293/5000:None,1/2-1/2,245,Termination.FIVEFOLD_REPETITION,0.04783208717501314
295/5000:None,1/2-1/2,65,Termination.FIVEFOLD_REPETITION,0.04688022864023037
296/5000:None,1/2-1/2,75,Termination.FIVEFOLD_REPETITION,0.04641142635382807
297/5000:None,1/2-1/2,63,Termination.FIVEFOLD_REPETITION,0.04594731209028979
300/5000:None,1/2-1/2,82,Termination.FIVEFOLD_REPETITION,0.04458263097389609
301/5000:black,0-1,179,Termination.CHECKMATE,0.04413680466415713
302/5000:None,1/2-1/2,196,Termination.FIVEFOLD_REPETITION,0.04369543661751556
303/5000:None,1/2-1/2,175,Termination.FIVEFOLD_REPETITION,0.0432584822513404
304/5000:None,1/2-1/2,127,Termination.FIVEFOLD_REPETITION,0.042825897428826996
306/5000:None,1/2-1/2,101,Termination.FIVEFOLD_REPETITION,0.04197366206999334
307/5000:None,1/2-1/2,75,Termination.FIVEFOLD_REPETITION,0.0415539254492934
308/5000:None,1/2-1/2,92,Termination.FIVEFOLD_REPETITION,0.04113838619480047
309/5000:None,1/2-1/2,32,Termination.FIVEFOLD_REPETITION,0.040727002332852466
310/5000:None,1/2-1/2,87,Termination.FIVEFOLD_REPETITION,0.04031973230952394
311/5000:None,1/2-1/2,92,Termination.FIVEFOLD_REPETITION,0.0399165349864287
312/5000:white,1-0,62,Termination.CHECKMATE,0.03951736963656441
313/5000:None,1/2-1/2,89,Termination.FIVEFOLD_REPETITION,0.03912219594019876
314/5000:None,1/2-1/2,53,Termination.FIVEFOLD_REPETITION,0.03873097398079678
315/5000:None,1/2-1/2,53,Termination.FIVEFOLD_REPETITION,0.03834366424098881
316/5000:None,1/2-1/2,130,Termination.FIVEFOLD_REPETITION,0.0379602275985789
317/5000:None,1/2-1/2,34,Termination.FIVEFOLD_REPETITION,0.03758062532259313
318/5000:None,1/2-1/2,42,Termination.FIVEFOLD_REPETITION,0.0372048190693672
319/5000:None,1/2-1/2,140,Termination.FIVEFOLD_REPETITION,0.0368327708786735
320/5000:None,1/2-1/2,43,Termination.FIVEFOLD_REPETITION,0.0364644431698868
321/5000:None,1/2-1/2,214,Termination.FIVEFOLD_REPETITION,0.0360997987381879
322/5000:None,1/2-1/2,50,Termination.FIVEFOLD_REPETITION,0.03573880075080605
323/5000:None,1/2-1/2,75,Termination.FIVEFOLD_REPETITION,0.03538141274329799
324/5000:None,1/2-1/2,119,Termination.FIVEFOLD_REPETITION,0.03502759861586502
325/5000:None,1/2-1/2,226,Termination.FIVEFOLD_REPETITION,0.0346773226297063
326/5000:None,1/2-1/2,165,Termination.FIVEFOLD_REPETITION,0.0343305494034092
327/5000:None,1/2-1/2,92,Termination.FIVEFOLD_REPETITION,0.03398724390937519
328/5000:None,1/2-1/2,90,Termination.FIVEFOLD_REPETITION,0.03364737147028144
329/5000:None,1/2-1/2,110,Termination.FIVEFOLD_REPETITION,0.03331089775557862
330/5000:None,1/2-1/2,82,Termination.FIVEFOLD_REPETITION,0.03297778877802284
331/5000:None,1/2-1/2,53,Termination.FIVEFOLD_REPETITION,0.03264801089024261
332/5000:None,1/2-1/2,79,Termination.FIVEFOLD_REPETITION,0.03232153078134019
333/5000:None,1/2-1/2,49,Termination.FIVEFOLD_REPETITION,0.03199831547352679
334/5000:None,1/2-1/2,83,Termination.FIVEFOLD_REPETITION,0.03167833231879152
