Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
8/10000:black,0-1,187,Termination.CHECKMATE,0.8388588131162911
18/10000:white,1-0,138,Termination.CHECKMATE,0.7586488740455342
19/10000:black,0-1,43,Termination.CHECKMATE,0.7510623853050789
35/10000:white,1-0,62,Termination.CHECKMATE,0.6394979045450631
48/10000:None,1/2-1/2,207,Termination.INSUFFICIENT_MATERIAL,0.5611728554020801
49/10000:white,1-0,234,Termination.CHECKMATE,0.5555611268480593
51/10000:black,0-1,165,Termination.CHECKMATE,0.5445054604237829
65/10000:black,0-1,167,Termination.CHECKMATE,0.4730368387730059
66/10000:white,1-0,176,Termination.CHECKMATE,0.46830647038527584
70/10000:None,1/2-1/2,226,Termination.STALEMATE,0.449853326909279
91/10000:None,1/2-1/2,172,Termination.STALEMATE,0.3642587754104914
93/10000:None,1/2-1/2,183,Termination.FIVEFOLD_REPETITION,0.3570100257798226
95/10000:None,1/2-1/2,233,Termination.FIVEFOLD_REPETITION,0.3499055262668041
98/10000:None,1/2-1/2,245,Termination.FIVEFOLD_REPETITION,0.3395129822311538
111/10000:None,1/2-1/2,186,Termination.STALEMATE,0.2979297794889125
115/10000:black,0-1,89,Termination.CHECKMATE,0.2861901574372292
117/10000:black,0-1,77,Termination.CHECKMATE,0.28049497330422835
118/10000:None,1/2-1/2,240,Termination.FIVEFOLD_REPETITION,0.27769002357118605
119/10000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.2749131233354742
120/10000:None,1/2-1/2,248,Termination.STALEMATE,0.27216399210211945
121/10000:None,1/2-1/2,143,Termination.FIVEFOLD_REPETITION,0.26944235218109824
122/10000:black,0-1,153,Termination.CHECKMATE,0.26674792865928726
123/10000:white,1-0,136,Termination.CHECKMATE,0.2640804493726943
124/10000:None,1/2-1/2,37,Termination.FIVEFOLD_REPETITION,0.2614396448789674
131/10000:black,0-1,187,Termination.CHECKMATE,0.24367883356079467
132/10000:None,1/2-1/2,87,Termination.FIVEFOLD_REPETITION,0.241242045225186
136/10000:None,1/2-1/2,224,Termination.FIVEFOLD_REPETITION,0.231736146087553
137/10000:None,1/2-1/2,164,Termination.FIVEFOLD_REPETITION,0.22941878462667836
138/10000:None,1/2-1/2,35,Termination.FIVEFOLD_REPETITION,0.22712459678041158
